kind,symbol,code,name,price,pct,open,high,low,pre_close,amount,quote_time,close_location,etf_score,grade,breadth,median_stock_pct,relative_strength,drawdown_from_recent_peak,alert,life_stage,stage_advice
etf,sh515790,515790,光伏ETF,0.832,1.96,0.815,0.833,0.812,0.816,28693.0,20260803161439,0.9523809523809521,74.17,A,50.0,1.96,2.57,-0.83,正常,启动,可观察，等待持续性确认
etf,sh512660,512660,军工ETF,1.101,0.73,1.09,1.104,1.086,1.093,30447.0,20260803161433,0.8333333333333272,67.43,B,50.0,0.73,1.34,-0.27,正常,启动,可观察，等待持续性确认
etf,sh515030,515030,新能源车ETF,1.614,-0.31,1.608,1.624,1.597,1.619,12139.0,20260803161451,0.6296296296296312,60.43,B,50.0,-0.31,0.3,-0.31,正常,分歧,只留强股，弱股减法
etf,sh512880,512880,证券ETF,1.105,-0.18,1.097,1.106,1.095,1.107,132965.0,20260803161444,0.9090909090909,56.11,C,50.0,-0.18,0.43,-2.04,黄色：高位降温，停止追高,分歧,只留强股，弱股减法
etf,sh515400,515400,大数据ETF,0.854,-0.12,0.857,0.873,0.849,0.855,9546.0,20260803161435,0.20833333333333334,55.93,C,50.0,-0.12,0.49,-3.94,黄色：高位降温，停止追高,震荡,等待方向，不强行交易
etf,sh518880,518880,黄金ETF,8.417,-0.19,8.4,8.43,8.383,8.433,271049.0,20260803161443,0.7234042553191545,52.04,C,50.0,-0.19,0.42,-1.67,黄色：高位降温，停止追高,分歧,只留强股，弱股减法
etf,sh515880,515880,通信ETF,0.582,0.0,0.57,0.595,0.57,0.582,271059.0,20260803161446,0.48,49.63,C,50.0,-0.22,0.61,-13.26,橙色：趋势破坏，暂停新开仓,震荡,等待方向，不强行交易
etf,sh510300,510300,沪深300ETF,4.599,-1.16,4.624,4.638,4.591,4.653,426996.0,20260803161434,0.17021276595744803,48.47,C,100.0,1.52,-0.55,-3.93,黄色：高位降温，停止追高,震荡,等待方向，不强行交易
etf,sh510880,510880,红利ETF,3.285,-0.58,3.291,3.325,3.281,3.304,48409.0,20260803161450,0.09090909090909091,44.09,D,50.0,-0.58,0.03,-0.82,橙色：趋势破坏，暂停新开仓,震荡,等待方向，不强行交易
etf,sh512400,512400,有色金属ETF,1.778,-0.78,1.79,1.793,1.753,1.792,64460.0,20260803161443,0.6250000000000028,44.06,D,0.0,-1.21,-0.17,-2.41,橙色：趋势破坏，暂停新开仓,震荡,等待方向，不强行交易
etf,sh516820,516820,机器人ETF,0.344,-1.15,0.347,0.349,0.343,0.348,3822.0,20260803161449,0.16666666666665897,42.62,D,50.0,-1.15,-0.54,-1.15,橙色：趋势破坏，暂停新开仓,退潮,停止新增，反弹处理弱股
etf,sh512690,512690,酒ETF,0.448,-1.1,0.45,0.454,0.447,0.453,52938.0,20260803161439,0.14285714285714285,42.53,D,50.0,-1.1,-0.49,-1.1,橙色：趋势破坏，暂停新开仓,退潮,停止新增，反弹处理弱股
etf,sh512170,512170,医疗ETF,0.328,-0.61,0.329,0.331,0.326,0.33,38096.0,20260803161454,0.4,41.26,D,0.0,-2.0,0.0,-0.61,橙色：趋势破坏，暂停新开仓,退潮,停止新增，反弹处理弱股
etf,sh516510,516510,云计算ETF,1.664,-0.36,1.655,1.699,1.655,1.67,20859.0,20260803161452,0.20454545454545203,40.91,D,0.0,-0.3,0.25,-3.59,橙色：趋势破坏，暂停新开仓,退潮,停止新增，反弹处理弱股
etf,sh515980,515980,人工智能ETF,0.985,-2.28,0.997,1.019,0.977,1.008,25421.0,20260803161448,0.190476190476191,23.87,E,0.0,-0.27,-1.67,-11.58,橙色：趋势破坏，暂停新开仓,退潮,停止新增，反弹处理弱股
etf,sh515220,515220,煤炭ETF,1.176,-1.92,1.19,1.204,1.171,1.199,70174.0,20260803161457,0.15151515151514866,13.36,E,0.0,-4.29,-1.31,-5.01,黄色：高位降温，停止追高,退潮,停止新增，反弹处理弱股
etf,sh512760,512760,芯片ETF,0.996,-7.26,1.05,1.06,0.994,1.074,77265.0,20260803161452,0.030303030303030304,5.37,E,50.0,-7.26,-6.65,-18.02,红色：行业共振回撤，停止新增，反弹优先减弱,退潮,停止新增，反弹处理弱股
etf,sh588200,588200,科创芯片ETF,1.041,-6.64,1.092,1.105,1.04,1.115,485585.0,20260803161436,0.015384615384613703,0.0,E,0.0,-6.42,-6.03,-18.48,红色：行业共振回撤，停止新增，反弹优先减弱,退潮,停止新增，反弹处理弱股
etf,sh512480,512480,半导体ETF,0.921,-7.16,0.969,0.978,0.919,0.992,227592.0,20260803161451,0.033898305084745825,0.0,E,0.0,-6.65,-6.55,-18.06,红色：行业共振回撤，停止新增，反弹优先减弱,退潮,停止新增，反弹处理弱股
