code,name,sector,source,price,pct,open,high,low,pre_close,amount,turnover,volume_ratio,quote_time,close_location,high_dist,low_rebound,price_vs_open,etf_name,etf_grade,etf_score,relative_strength,quality_score,quick_profit_score,oversold_score,explosion_index,explosion_reason,held,cost,position_pnl,event_note,event_risk_value,event_hard_veto,signal,action,final_score,priority,life_stage,coach_score,candidate_grade,recommend_reasons,deduct_reasons,human_adjust,coach_action,coach_priority
000703,恒逸石化,自动发现,今日自动发现,15.8,4.22,15.07,15.99,14.82,15.16,151300.0,2.55,1.19,20260723142624,0.8376068376068381,-1.1882426516572786,6.612685560053988,4.844061048440618,,C,50.0,4.22,54.36,82.47,0.0,0.0,,False,0.0,0,,0.0,False,回避,当前无优势,82.47,0.0,未知,82.47,A,明显强于行业；价格接近日内强势区；量能较健康；开盘后仍有承接；当日未明显追高,无明显额外扣分,0.0,一级候选：尾盘确认后小仓，禁止急拉追买,5
002202,金风科技,自动发现,今日自动发现,18.25,4.23,17.51,18.38,17.38,17.51,181753.0,3.0,1.15,20260723142624,0.870000000000001,-0.7072905331882429,5.0057537399309515,4.226156482010279,,C,50.0,4.23,54.52,82.24,0.0,0.0,,False,0.0,0,,0.0,False,回避,当前无优势,82.24,0.0,未知,82.24,A,明显强于行业；价格接近日内强势区；量能较健康；开盘后仍有承接；当日未明显追高,无明显额外扣分,0.0,一级候选：尾盘确认后小仓，禁止急拉追买,5
600160,巨化股份,自动发现,今日自动发现,40.27,3.84,38.78,40.35,38.42,38.78,142536.0,1.34,0.77,20260723142626,0.9585492227979283,-0.19826517967781454,4.815200416449761,3.842186694172267,,C,50.0,3.84,54.31,82.14,0.0,0.0,,False,0.0,0,,0.0,False,回避,当前无优势,82.14,0.0,未知,82.14,A,明显强于行业；价格接近日内强势区；开盘后仍有承接；当日未明显追高,无明显额外扣分,0.0,一级候选：尾盘确认后小仓，禁止急拉追买,5
300014,亿纬锂能,自动发现,今日自动发现,55.05,3.87,52.7,55.41,52.41,53.0,279730.0,2.44,1.1,20260723142624,0.8800000000000002,-0.6497022198159175,5.037206639954217,4.4592030360531165,,C,50.0,3.87,54.89,81.82,0.0,0.0,,False,0.0,0,,0.0,False,回避,当前无优势,81.82,0.0,未知,81.82,A,明显强于行业；价格接近日内强势区；量能较健康；开盘后仍有承接；当日未明显追高,无明显额外扣分,0.0,一级候选：尾盘确认后小仓，禁止急拉追买,5
000792,盐湖股份,自动发现,今日自动发现,27.45,4.45,26.35,27.95,26.0,26.28,281414.0,1.95,1.32,20260723142624,0.7435897435897435,-1.7889087656529523,5.576923076923079,4.174573055028463,,C,50.0,4.45,54.9,80.64,0.0,0.0,,False,0.0,0,,0.0,False,回避,当前无优势,80.64,0.0,未知,80.64,A,明显强于行业；价格接近日内强势区；量能较健康；开盘后仍有承接；当日未明显追高,无明显额外扣分,0.0,一级候选：尾盘确认后小仓，禁止急拉追买,5
300750,宁德时代,自动发现,今日自动发现,384.41,3.26,373.0,385.93,366.01,372.26,1148427.0,0.71,0.9,20260723142621,0.9236947791164668,-0.3938538076853293,5.0271850495888115,3.0589812332439736,,C,50.0,3.26,56.12,79.21,0.0,0.0,,False,0.0,0,,0.0,False,回避,当前无优势,79.21,0.0,未知,79.21,A,明显强于行业；价格接近日内强势区；量能较健康；开盘后仍有承接；当日未明显追高,无明显额外扣分,0.0,一级候选：尾盘确认后小仓，禁止急拉追买,5
603799,华友钴业,自动发现,今日自动发现,41.34,3.87,39.8,41.92,39.6,39.8,336262.0,4.34,1.28,20260723142622,0.7500000000000008,-1.3835877862595325,4.3939393939393945,3.8693467336683662,,C,50.0,3.87,55.05,78.76,0.0,0.0,,False,0.0,0,,0.0,False,回避,当前无优势,78.76,0.0,未知,78.76,A,明显强于行业；价格接近日内强势区；量能较健康；开盘后仍有承接；当日未明显追高,无明显额外扣分,0.0,一级候选：尾盘确认后小仓，禁止急拉追买,5
000933,神火股份,自动发现,今日自动发现,26.22,4.88,25.03,26.84,24.8,25.0,208982.0,3.57,1.23,20260723142624,0.6960784313725484,-2.3099850968703484,5.7258064516128915,4.75429484618457,,C,50.0,4.88,54.64,78.07,0.0,0.0,,False,0.0,0,,0.0,False,回避,当前无优势,78.07,0.0,未知,78.07,A,明显强于行业；量能较健康；开盘后仍有承接,无明显额外扣分,0.0,一级候选：尾盘确认后小仓，禁止急拉追买,5
601600,中国铝业,自动发现,今日自动发现,9.8,3.92,9.41,9.97,9.22,9.43,389284.0,3.04,1.29,20260723142622,0.7733333333333334,-1.7051153460381108,6.290672451193058,4.144527098831041,,C,50.0,3.92,45.18,77.71,0.0,10.0,事件风险+10,False,0.0,0,近期有业绩公告，需关注单季度环比：中国铝业:中国铝业2026年半年度业绩预增公告,10.0,False,回避,当前无优势,77.71,0.0,未知,77.71,B,明显强于行业；价格接近日内强势区；量能较健康；开盘后仍有承接；当日未明显追高,无明显额外扣分,0.0,二级观察：等待回踩或次日确认,4
601991,大唐发电,自动发现,今日自动发现,7.35,5.76,6.8,7.5,6.63,6.95,593836.0,6.85,1.28,20260723142621,0.8275862068965514,-2.0000000000000018,10.859728506787336,8.088235294117641,,C,50.0,5.76,55.55,87.58,0.0,0.0,,False,0.0,0,,0.0,False,回避,当前无优势,87.58,0.0,未知,77.58,B,明显强于行业；价格接近日内强势区；量能较健康；开盘后仍有承接,接近追高区；人工设置禁止追高,0.0,二级观察：等待回踩或次日确认,4
601868,中国能建,自动发现,今日自动发现,2.65,2.71,2.57,2.66,2.55,2.58,129674.0,1.53,1.61,20260723142624,0.9090909090909073,-0.375939849624074,3.9215686274509887,3.112840466926081,,C,50.0,2.71,54.23,77.13,0.0,0.0,,False,0.0,0,,0.0,False,回避,当前无优势,77.13,0.0,未知,77.13,B,明显强于行业；价格接近日内强势区；量能较健康；开盘后仍有承接；当日未明显追高,无明显额外扣分,0.0,二级观察：等待回踩或次日确认,4
600406,国电南瑞,自动发现,今日自动发现,24.41,2.78,23.75,24.5,23.43,23.75,255988.0,1.33,1.26,20260723142623,0.9158878504672898,-0.3673469387755146,4.182671788305603,2.7789473684210586,,C,50.0,2.78,54.82,77.1,0.0,0.0,,False,0.0,0,,0.0,False,回避,当前无优势,77.1,0.0,未知,77.1,B,明显强于行业；价格接近日内强势区；量能较健康；开盘后仍有承接；当日未明显追高,无明显额外扣分,0.0,二级观察：等待回踩或次日确认,4
600893,航发动力,自动发现,今日自动发现,35.27,3.98,33.95,35.73,33.95,33.92,125270.0,1.34,1.21,20260723142624,0.7415730337078679,-1.2874335292471173,3.888070692194412,3.888070692194412,,C,50.0,3.98,44.2,76.77,0.0,10.0,事件风险+10,False,0.0,0,近期有业绩公告，需关注单季度环比：航发动力:中国航发动力股份有限公司2026年半年度业绩预告,10.0,False,回避,当前无优势,76.77,0.0,未知,76.77,B,明显强于行业；价格接近日内强势区；量能较健康；开盘后仍有承接；当日未明显追高,无明显额外扣分,0.0,二级观察：等待回踩或次日确认,4
002709,天赐材料,自动发现,今日自动发现,37.15,5.36,35.41,37.48,35.18,35.26,270486.0,4.9,1.14,20260723142624,0.8565217391304354,-0.8804695837780097,5.5997725980670765,4.913866139508616,,C,50.0,5.36,54.86,86.14,0.0,0.0,,False,0.0,0,,0.0,False,回避,当前无优势,86.14,0.0,未知,76.14,B,明显强于行业；价格接近日内强势区；量能较健康；开盘后仍有承接,接近追高区；人工设置禁止追高,0.0,二级观察：等待回踩或次日确认,4
000338,潍柴动力,自动发现,今日自动发现,27.81,3.58,27.1,28.08,27.03,26.85,255797.0,1.87,0.95,20260723142624,0.7428571428571425,-0.9615384615384581,2.885682574916748,2.6199261992619904,,C,50.0,3.58,54.82,76.06,0.0,0.0,,False,0.0,0,,0.0,False,回避,当前无优势,76.06,0.0,未知,76.06,B,明显强于行业；价格接近日内强势区；量能较健康；开盘后仍有承接；当日未明显追高,无明显额外扣分,0.0,二级观察：等待回踩或次日确认,4
000408,藏格矿业,自动发现,今日自动发现,79.49,3.83,77.7,80.59,76.62,76.56,153271.0,1.23,1.37,20260723142624,0.7229219143576804,-1.3649336145923896,3.7457582876533335,2.3037323037322865,,C,50.0,3.83,54.37,75.88,0.0,0.0,,False,0.0,0,,0.0,False,回避,当前无优势,75.88,0.0,未知,75.88,B,明显强于行业；价格接近日内强势区；量能较健康；开盘后仍有承接；当日未明显追高,无明显额外扣分,0.0,二级观察：等待回踩或次日确认,4
300450,先导智能,自动发现,今日自动发现,32.88,3.1,32.05,33.12,31.9,31.89,125926.0,2.48,0.92,20260723142624,0.8032786885245942,-0.7246376811594013,3.072100313479642,2.5897035881435437,,C,50.0,3.1,54.2,75.63,0.0,0.0,,False,0.0,0,,0.0,False,回避,当前无优势,75.63,0.0,未知,75.63,B,明显强于行业；价格接近日内强势区；量能较健康；开盘后仍有承接；当日未明显追高,无明显额外扣分,0.0,二级观察：等待回踩或次日确认,4
600011,华能国际,自动发现,今日自动发现,7.5,2.88,7.22,7.63,7.16,7.29,139496.0,1.73,1.04,20260723142624,0.723404255319149,-1.7038007863695914,4.748603351955305,3.878116343490312,,C,50.0,2.88,54.29,75.42,0.0,0.0,,False,0.0,0,,0.0,False,回避,当前无优势,75.42,0.0,未知,75.42,B,明显强于行业；价格接近日内强势区；量能较健康；开盘后仍有承接；当日未明显追高,无明显额外扣分,0.0,二级观察：等待回踩或次日确认,4
